"threshold","tp","fp","tn","fn","tpr","fpr","precision","accuracy"
0,1924,21717,0,0,1,1,0.0813840362082822,0.0813840362082822
0.02,1797,2459,19258,127,0.933991683991684,0.113229267394207,0.422227443609023,0.890613764223172
0.04,1773,1957,19760,151,0.921517671517671,0.0901137357830271,0.475335120643432,0.910832875089886
0.06,1743,1388,20329,181,0.905925155925156,0.0639130634986416,0.556691152986266,0.933632249058838
0.08,1723,1210,20507,201,0.895530145530146,0.0557167196205737,0.58745311967269,0.940315553487585
0.1,1714,1143,20574,210,0.890852390852391,0.0526315789473684,0.599929996499825,0.942768918404467
0.12,1680,887,20830,244,0.873180873180873,0.0408435787631809,0.654460459680561,0.952159384120807
0.14,1669,542,21175,255,0.867463617463617,0.0249574066399595,0.754862053369516,0.966287382090436
0.16,1619,520,21197,305,0.841476091476091,0.0239443753741309,0.756895745675549,0.965102999027114
0.18,1607,492,21225,317,0.835239085239085,0.0226550628539854,0.765602667937113,0.965779789349012
0.2,1603,326,21391,321,0.833160083160083,0.0150112814845513,0.831000518403318,0.972632291358234
0.22,1564,314,21403,360,0.812889812889813,0.0144587189759175,0.832800851970181,0.97149020769003
0.24,1557,301,21416,367,0.809251559251559,0.0138601095915642,0.83799784714747,0.971744004060742
0.26,1555,295,21422,369,0.808212058212058,0.0135838283372473,0.840540540540541,0.971913201641217
0.28,1548,289,21428,376,0.804573804573805,0.0133075470829304,0.842678279804028,0.971870902246098
0.3,1540,281,21436,384,0.8004158004158,0.0129391720771746,0.845689181768259,0.971870902246098
0.32,1532,267,21450,392,0.796257796257796,0.0122945158171018,0.851584213451918,0.97212469861681
0.34,1522,259,21458,402,0.791060291060291,0.011926140811346,0.854576080853453,0.972040099826572
0.36,1518,247,21470,406,0.788981288981289,0.0113735783027122,0.860056657223796,0.972378494987522
0.38,1515,240,21477,409,0.787422037422037,0.0110512501726758,0.863247863247863,0.972547692567996
0.4,1511,239,21478,413,0.785343035343035,0.0110052032969563,0.863428571428571,0.97242079438264
0.42,1507,227,21490,417,0.783264033264033,0.0104526407883225,0.869088811995386,0.97275918954359
0.44,1504,223,21494,420,0.781704781704782,0.0102684532854446,0.870874348581355,0.972801488938708
0.46,1499,218,21499,425,0.779106029106029,0.0100382189068472,0.873034362259755,0.972801488938708
0.48,1499,195,21522,425,0.779106029106029,0.00897914076529907,0.884887839433294,0.973774375026437
0.5,1497,193,21524,427,0.778066528066528,0.00888704701386011,0.885798816568047,0.973774375026437
0.52,1495,182,21535,429,0.777027027027027,0.0083805313809458,0.891472868217054,0.974155069582505
0.54,1490,180,21537,434,0.774428274428274,0.00828843762950684,0.892215568862275,0.974028171397149
0.56,1489,173,21544,435,0.773908523908524,0.00796610949947046,0.895908543922984,0.974281967767861
0.58,1485,165,21552,439,0.771829521829522,0.0075977344937146,0.9,0.974451165348336
0.6,1473,157,21560,451,0.765592515592516,0.00722935948795874,0.903680981595092,0.974281967767861
0.62,1451,115,21602,473,0.754158004158004,0.00529539070774048,0.926564495530013,0.975127955670234
0.64,1439,111,21606,485,0.747920997920998,0.00511120320486255,0.928387096774194,0.974789560509285
0.66,1437,104,21613,487,0.746881496881497,0.00478887507482617,0.932511356262167,0.975001057484878
0.68,1430,97,21620,494,0.743243243243243,0.0044665469447898,0.936476751800917,0.975001057484878
0.7,1424,91,21626,500,0.74012474012474,0.0041902656904729,0.93993399339934,0.975001057484878
0.72,1418,80,21637,506,0.737006237006237,0.00368375005755859,0.946595460614152,0.975212554460471
0.74,1409,65,21652,515,0.732328482328482,0.00299304692176636,0.955902306648575,0.975466350831183
0.76,1409,63,21654,515,0.732328482328482,0.00290095317032739,0.957201086956522,0.97555094962142
0.78,1407,59,21658,517,0.731288981288981,0.00271676566744946,0.959754433833561,0.975635548411658
0.8,1405,48,21669,519,0.73024948024948,0.00221025003453516,0.966964900206469,0.976016242967726
0.82,1394,44,21673,530,0.724532224532225,0.00202606253165723,0.969401947148818,0.975720147201895
0.84,1355,24,21693,569,0.704261954261954,0.00110512501726758,0.982596084118927,0.974916458694641
0.86,1347,23,21694,577,0.70010395010395,0.0010590781415481,0.983211678832117,0.97462036292881
0.88,1339,14,21703,585,0.695945945945946,0.000644656260072754,0.989652623798965,0.974662662323929
0.9,1305,12,21705,619,0.678274428274428,0.000552562508633789,0.990888382687927,0.973309081680132
0.92,1238,1,21716,686,0.643451143451143,4.60468757194824e-05,0.999192897497982,0.970940315553488
0.94,1224,0,21717,700,0.636174636174636,0,1,0.970390423416945
0.96,0,0,21717,1924,0,0,NA,0.918615963791718
0.98,0,0,21717,1924,0,0,NA,0.918615963791718
1,0,0,21717,1924,0,0,NA,0.918615963791718
